"","V1","V2"
"223","Smtnl2","darkseagreen4"
"224","Egfl6","floralwhite"
"225","Tpsab1","honeydew1"
"226","Nron","grey"
"227","X1810041L15Rik","yellow4"
"228","X5031425F14Rik","lavenderblush2"
"229","X6230400D17Rik","white"
"230","Abca4","blue2"
"231","Ablim2","black"
"232","Bambi.ps1","thistle1"
"233","BC037704","coral1"
"234","Dcaf12l1","darkolivegreen4"
"235","Hoxa6","grey"
"236","Inpp5j","orange"
"237","Pdcd1lg2","maroon"
"238","Scn3a","magenta"
"239","Slc25a29","black"
"240","Tmem202","thistle3"
"241","Ankrd55","grey"
"242","Gm10584","black"
"243","Krt10","black"
"244","Phf21b","black"
"245","Serp2","red"
"246","Zfp964","darkturquoise"
"247","Kbtbd6","yellow4"
"248","Zfp239","black"
"249","Nrip2","ivory"
"250","Tram1l1","floralwhite"
"251","Gpr17","black"
"252","Ccdc17","salmon2"
"253","Pnma1","grey"
"254","X4833419F23Rik","black"
"255","X2010300C02Rik","coral1"
"256","Spata24","black"
"257","Ptpn5","black"
"258","Foxp3","grey"
"259","X4732471J01Rik","black"
"260","Cpt1b","white"
"261","Dnah17","black"
"262","Evpl","white"
"263","Gm11517","brown4"
"264","Gm11627","lightcoral"
"265","Gm16617","black"
"266","Gria1","mediumpurple2"
"267","Ltb4r1","black"
"268","Pabpc1l","black"
"269","Perm1","sienna3"
"270","Rpp25","magenta"
"271","Rundc3b","orange"
"272","Scrn2","honeydew1"
"273","Uchl1","black"
"274","Zfp783","darkolivegreen4"
"275","Ccr6","darkviolet"
"276","Rab39b","black"
"277","Smim6","firebrick4"
"278","Gm16062","red"
"279","Tmem158","black"
"280","X5930403L14Rik","black"
"281","Gm28043","navajowhite2"
"282","Cyp2r1","darkorange2"
"283","Ciart","grey"
"284","Adh7","grey"
"285","Glp1r","orangered4"
"286","Gm45935","white"
"287","X2310040G24Rik","black"
"288","Cdkl1","grey"
"289","Fez1","midnightblue"
"290","Map2k3os","black"
"291","Tert","lightcoral"
"292","Rmi2","black"
"293","Chad","black"
"294","Cyp2u1","salmon2"
"295","X2810468N07Rik","lightcyan1"
"296","Tgfbr3l","darkred"
"297","X4933428G20Rik","black"
"298","Ncr1","orange"
"299","A530099J19Rik","magenta"
"300","Zfp94","black"
"301","Impg2","plum"
"302","Zfp711","plum"
"303","Gm9199","grey"
"304","Gjb3","darkmagenta"
"305","Gm15713","grey"
"306","Rab19","grey"
"307","Tnnt3","darkseagreen4"
"308","Tox2","white"
"309","Prss30","brown2"
"310","B630019K06Rik","black"
"311","Pcsk9","black"
"312","Krt20","floralwhite"
"313","Cxcl5","black"
"314","Gm10400","blue2"
"315","X4732491K20Rik","white"
"316","H2.L","black"
"317","X3425401B19Rik","darkseagreen4"
"318","X3632454L22Rik","black"
"319","X5033417F24Rik","black"
"320","Bfsp1","lightcoral"
"321","Gm12504","magenta4"
"322","Il13ra2","brown2"
"323","Myh14","magenta"
"324","Rgs8","black"
"325","Tmem132e","grey"
"326","X4930432K21Rik","grey"
"327","B3galt5","grey"
"328","Gpbar1","lightcoral"
"329","Grik2","black"
"330","Il20ra","black"
"331","Klc3","thistle2"
"332","Klra7","black"
"333","Lrrc19","blue2"
"334","Ppp1r1a","magenta"
"335","Sspo","black"
"336","Sult6b1","grey"
"337","Tmigd3","black"
"338","Vps37d","black"
"339","Gm16023","palevioletred3"
"340","Plin1","magenta"
"341","Hsf4","grey"
"342","Psd2","black"
"343","Cidec","magenta"
"344","Gm9833","floralwhite"
"345","Nrn1","brown2"
"346","X1700029J07Rik","thistle1"
"347","Hexim2","salmon4"
