"V1" "V2"
"193" "CP" "grey"
"194" "CFAP47" "thistle1"
"195" "ELN" "grey60"
"196" "CASP14" "grey"
"197" "GPRC5C" "mediumpurple3"
"198" "VAV1" "ivory"
"199" "LOC375196" "maroon"
"200" "FAM47E.STBD1" "grey"
"201" "CALB2" "lightgreen"
"202" "RHBDL3" "darkgreen"
"203" "HAGLR" "grey"
"204" "HOXA.AS3" "grey"
"205" "DMRT1" "darkmagenta"
"206" "MROH7" "green"
"207" "MT1E" "salmon"
"208" "KCNV1" "grey"
"209" "WDR17" "darkorange2"
"210" "PIGR" "brown"
"211" "NFASC" "grey"
"212" "RFLNA" "lightcyan1"
"213" "CHMP1B2P" "grey"
"214" "BCAT1" "saddlebrown"
"215" "CDHR1" "darkorange"
"216" "OLFM4" "lightgreen"
"217" "GABRB2" "grey"
"218" "CEACAM5" "greenyellow"
"219" "COL2A1" "lightcyan1"
"220" "DMRT3" "darkseagreen4"
"221" "EXTL1" "darkturquoise"
"222" "KRT83" "brown"
"223" "ADGRG2" "darkmagenta"
"224" "FLT4" "lightsteelblue1"
"225" "ANOS1" "grey"
"226" "PPP1R16B" "plum"
"227" "POM121L2" "brown"
"228" "ARHGAP25" "grey"
"229" "COL1A2" "orange"
"230" "CNTN4" "grey"
"231" "LINP1" "grey"
"232" "PDLIM4" "thistle2"
"233" "FMOD" "grey"
"234" "ADAMTS5" "pink"
"235" "TFAP2B" "grey"
"236" "LINC00707" "magenta"
"237" "CHST11" "lightgreen"
"238" "KLK13" "darkmagenta"
"239" "GTF2H2" "grey"
"240" "HOXA3" "grey"
"241" "NLRP1" "darkorange"
"242" "LRRIQ1" "grey"
"243" "ADAMTS4" "saddlebrown"
"244" "CELF5" "brown"
"245" "KIAA1549L" "pink"
"246" "CYP2S1" "grey"
"247" "RAI2" "cyan"
"248" "USH1C" "brown"
"249" "APOE" "salmon"
"250" "CCND2" "lightsteelblue1"
"251" "ANKRD20A3" "thistle2"
"252" "ARHGAP20" "orange"
"253" "CSTA" "magenta"
"254" "LOC101929128" "coral2"
"255" "DSG3" "orangered3"
"256" "CSMD2" "grey"
"257" "TAGLN3" "saddlebrown"
"258" "IFITM2" "brown"
"259" "VGLL1" "darkgreen"
"260" "EREG" "ivory"
"261" "HOXA10" "grey"
"262" "EEF1A2" "magenta"
"263" "CXCL14" "grey"
"264" "TLL1" "sienna3"
"265" "CDYL2" "grey"
"266" "CDH11" "violet"
"267" "S100A2" "brown"
"268" "VEGFC" "sienna3"
"269" "DSG1" "darkmagenta"
"270" "MROH7.TTC4" "grey"
"271" "PNMA2" "green"
"272" "PALM" "purple"
"273" "PDX1" "lavenderblush3"
"274" "MAL" "grey"
"275" "S100A9" "magenta"
"276" "SULT4A1" "grey"
"277" "ALOX15B" "grey"
"278" "LINC01606" "grey"
"279" "PRSS21" "grey"
"280" "IGFL1" "brown"
"281" "FAM83A" "magenta"
"282" "NOVA1" "mediumorchid"
"283" "REEP6" "brown"
"284" "FIBIN" "grey"
"285" "SCGB2A1" "darkmagenta"
"286" "ZIK1" "grey"
"287" "RUNX1.IT1" "grey"
"288" "C8orf48" "orangered4"
"289" "SYCP2L" "grey"
"290" "SPP1" "grey"
"291" "KIAA0408" "red"
"292" "GPR12" "darkolivegreen"
"293" "COL15A1" "darkturquoise"
"294" "ZNF98" "grey"
"295" "S100P" "greenyellow"
"296" "SCN2A" "darkgreen"
"297" "TMEM176A" "grey"
"298" "KLK7" "coral2"
"299" "BMP2" "grey"
"300" "PRUNE2" "grey"
"301" "SYN3" "navajowhite2"
"302" "ERG" "grey"
"303" "CDH2" "saddlebrown"
"304" "KLK11" "coral2"
"305" "CCDC129" "grey"
"306" "CSAG3" "brown"
"307" "EDA2R" "grey"
"308" "NLGN1" "green"
"309" "GATA2.AS1" "black"
"310" "ATP2B2" "saddlebrown"
"311" "CELF2.AS2" "brown4"
"312" "CHRD" "purple"
"313" "VAX1" "grey"
"314" "ZNF334" "grey"
"315" "CSPG4" "saddlebrown"
"316" "TBX15" "grey"
"317" "DUSP27" "grey"
"318" "MGAM2" "ivory"
"319" "PROKR2" "grey"
"320" "NUDT11" "lavenderblush3"
"321" "TRPA1" "darkorange"
"322" "PGR" "ivory"
"323" "C3" "grey"
"324" "DCX" "grey"
"325" "ZNF765.ZNF761" "grey"
"326" "LINC00664" "grey"
"327" "TLX1" "saddlebrown"
"328" "PCSK9" "grey"
"329" "PLPPR1" "grey"
"330" "FAM106A" "brown"
"331" "MT1M" "salmon"
"332" "MOGAT2" "honeydew1"
"333" "AKT3" "brown"
"334" "PRKG1" "grey"
"335" "SGCD" "grey"
"336" "MUC19" "black"
"337" "C1QTNF3.AMACR" "grey"
"338" "PNMA8B" "grey"
"339" "PGBD5" "lightgreen"
"340" "KLK5" "coral2"
"341" "ST20.MTHFS" "brown"
"342" "OBP2B" "grey"
"343" "FGFBP1" "brown"
"344" "APOBEC3G" "grey"
"345" "HOXC12" "grey"
"346" "MATK" "purple"
"347" "CNTFR" "royalblue"
"348" "KCNMB1" "grey60"
"349" "PCDH11Y" "grey"
"350" "XIST" "grey"
"351" "IL2RA" "darkslateblue"
"352" "LEF1" "violet"
"353" "SYT8" "brown"
"354" "ARHGAP40" "lightgreen"
"355" "WIF1" "green"
"356" "RCSD1" "grey"
"357" "ERBB4" "grey"
"358" "PARP8" "magenta"
"359" "MGAT3" "steelblue"
"360" "CD248" "white"
"361" "ACTL8" "grey"
"362" "MT1L" "salmon"
"363" "VIT" "grey"
"364" "ZNF826P" "grey"
"365" "FLJ41200" "grey"
"366" "COL22A1" "grey"
"367" "SLC7A2" "grey"
"368" "MAGEB4" "grey"
"369" "KBTBD11" "lavenderblush3"
"370" "LMO2" "skyblue1"
"371" "HS3ST3A1" "paleturquoise"
"372" "HOXA2" "darkolivegreen"
"373" "CYP4F11" "yellowgreen"
"374" "MSLN" "grey"
"375" "PTPRZ1" "grey"
"376" "CWH43" "orangered3"
"377" "SULF1" "grey"
"378" "TNNI2" "brown"
"379" "FZD10" "yellowgreen"
"380" "CHST4" "lightgreen"
"381" "TNNC1" "brown"
"382" "KRT6C" "orangered3"
"383" "ARL11" "mediumpurple3"
"384" "GAS7" "grey"
"385" "HES2" "brown"
"386" "ANGPT1" "lightpink4"
"387" "TNFRSF11B" "grey"
"388" "GUCY1A2" "grey"
"389" "FN1" "saddlebrown"
"390" "NBPF4" "grey"
"391" "S100A7" "brown"
"392" "IL6" "grey"
"393" "KLKB1" "mediumorchid"
"394" "ITIH6" "lightcyan1"
"395" "TENM3" "darkred"
"396" "PARVG" "grey"
"397" "BARX1" "brown"
"398" "XYLT1" "plum1"
"399" "SHISA9" "grey"
"400" "B3GAT1" "darkmagenta"
"401" "TUBB4A" "darkorange2"
"402" "PPP4R4" "yellow4"
"403" "KLK1" "grey"
"404" "FAM167A" "yellowgreen"
"405" "MIR100HG" "grey"
"406" "PHYHIPL" "darkslateblue"
"407" "GSTM2" "grey"
"408" "KIF5A" "green"
"409" "DIO2" "grey"
"410" "MAOB" "grey"
"411" "IQCA1" "orange"
"412" "HEY2" "grey"
"413" "BTBD11" "yellowgreen"
"414" "SERPINB2" "orangered3"
"415" "ISG15" "brown"
"416" "CST6" "ivory"
"417" "SNAI2" "grey"
"418" "SEMA3D" "yellowgreen"
"419" "PRKCQ.AS1" "grey"
"420" "KRT5" "grey"
"421" "KCNK3" "purple"
"422" "CDH13" "darkgreen"
"423" "CYP26B1" "plum1"
"424" "LINC00473" "grey"
"425" "CYP8B1" "pink"
"426" "TRIM43" "grey"
"427" "ADAM23" "darkred"
"428" "ECEL1" "green"
"429" "ELFN2" "brown"
"430" "MUC2" "brown"
"431" "LRRC55" "darkorange"
"432" "SELENOP" "grey"
"433" "MUM1L1" "navajowhite2"
"434" "SYN2" "darkturquoise"
"435" "MECOM" "lightsteelblue1"
"436" "EN2" "grey"
"437" "C2orf54" "honeydew1"
"438" "STXBP6" "darkred"
"439" "PCBP3" "grey"
"440" "PELI2" "grey"
"441" "SMOC2" "coral1"
"442" "FBLN5" "darkturquoise"
"443" "NKX2.5" "white"
"444" "ALKAL2" "antiquewhite4"
"445" "GAS6" "lavenderblush3"
"446" "IRAK3" "saddlebrown"
"447" "SV2A" "plum"
"448" "INPP5D" "grey"
"449" "KCNJ2.AS1" "lightpink4"
"450" "POTEE" "grey"
"451" "EGFL6" "grey"
"452" "PCA3" "bisque4"
"453" "COL4A1" "saddlebrown"
"454" "TLX1NB" "saddlebrown"
"455" "PCDH20" "salmon4"
"456" "PRDM13" "steelblue"
"457" "SNHG18" "grey"
"458" "XG" "honeydew1"
"459" "EPHA7" "brown4"
"460" "MUC17" "brown"
"461" "MIR503HG" "grey"
"462" "NGF" "grey"
"463" "TMEM200C" "coral1"
"464" "MUC3A" "red"
"465" "SIX3" "palevioletred3"
"466" "HCK" "darkred"
"467" "CXCL1" "lightcyan"
"468" "TCEB3C" "grey"
"469" "ISLR" "black"
"470" "ATP6V0A4" "grey"
"471" "GPR162" "green"
"472" "EFEMP1" "grey"
"473" "PCDHGB5" "grey"
"474" "CA9" "brown"
"475" "C14orf132" "darkgreen"
"476" "MICU3" "mediumorchid"
"477" "HLA.DRB1" "grey"
"478" "LOC101927468" "grey"
"479" "TSHZ3" "grey"
"480" "NBPF6" "grey"
"481" "PRKCQ" "grey"
"482" "LRRC26" "brown"
"483" "ZNF486" "grey"
"484" "TMEM246" "grey"
"485" "CFTR" "grey"
"486" "FOXG1" "grey"
"487" "CHRNA7" "darkolivegreen"
"488" "CES3" "mediumpurple3"
"489" "CRABP1" "honeydew1"
"490" "RORC" "pink"
"491" "SPRR1A" "yellowgreen"
"492" "CBFA2T3" "purple"
"493" "SKAP1" "darkgrey"
"494" "PCDH10" "salmon4"
"495" "MX2" "grey"
"496" "LAMC3" "antiquewhite4"
"497" "COL9A3" "lightcyan1"
"498" "WNT5A" "lavenderblush3"
"499" "ANKRD34B" "grey"
"500" "LOC90246" "saddlebrown"
"501" "SLC5A8" "grey"
"502" "ABCA13" "magenta"
"503" "NDUFC2.KCTD14" "brown"
"504" "DEGS2" "brown"
"505" "LRCH2" "plum"
"506" "DUOXA1" "darkmagenta"
"507" "CYP4B1" "black"
"508" "LINC01634" "skyblue3"
"509" "RSPO4" "lavenderblush3"
"510" "HPGD" "grey"
"511" "PRR16" "plum1"
"512" "ALDH1L1" "grey"
"513" "ARMC4" "lavenderblush3"
"514" "ROS1" "grey"
"515" "C3orf70" "bisque4"
"516" "FAM13C" "saddlebrown"
"517" "FRZB" "grey"
"518" "PDE3A" "brown"
"519" "FGF9" "plum"
"520" "SDK1" "grey"
"521" "MSRB3" "violet"
"522" "KLK6" "coral2"
"523" "GALNT5" "orange"
"524" "RNF182" "thistle1"
"525" "MAF" "grey"
"526" "VGLL3" "saddlebrown"
"527" "COL19A1" "darkslateblue"
"528" "ACKR3" "grey"
"529" "GOLGA8K" "darkolivegreen"
"530" "TOX" "sienna3"
"531" "KRT14" "orangered3"
"532" "SEMA6D" "violet"
"533" "BMPER" "skyblue1"
"534" "H19" "orange"
"535" "CARD16" "magenta"
"536" "LRP1B" "grey"
"537" "PI3" "lightgreen"
"538" "FGF2" "black"
"539" "PVRIG2P" "grey"
"540" "COL6A3" "orange"
"541" "EDNRB" "saddlebrown"
"542" "GDF15" "magenta"
"543" "SNCG" "magenta"
"544" "FOXI1" "grey"
"545" "ADAMTS10" "grey"
"546" "SORCS1" "grey"
"547" "PWAR6" "grey"
"548" "SRMS" "grey"
"549" "SLC44A4" "floralwhite"
"550" "NRG3" "bisque4"
"551" "LINC01198" "black"
"552" "KCNE3" "thistle2"
"553" "LINC00284" "grey"
"554" "ILDR2" "grey"
"555" "PLA2G4F" "yellow4"
"556" "LEFTY2" "orange"
"557" "SV2B" "darkred"
"558" "B3GALT5.AS1" "grey"
"559" "TRAF3IP3" "skyblue1"
"560" "SAMMSON" "grey"
"561" "UBD" "darkred"
"562" "LINC01468" "grey"
"563" "WNT5B" "grey"
"564" "FFAR4" "brown"
"565" "LGALS7B" "brown"
"566" "RSPO1" "antiquewhite4"
"567" "LY75.CD302" "darkmagenta"
"568" "LINC01239" "grey"
"569" "QRFPR" "grey"
"570" "GIMAP2" "grey"
"571" "MMP2" "orange"
"572" "FAM3D" "brown"
"573" "RTP4" "tan"
"574" "CAPN13" "yellow4"
"575" "FAR2P1" "grey"
"576" "FIBCD1" "brown"
"577" "NRG2" "grey"
"578" "ZDHHC2" "violet"
"579" "C19orf33" "brown"
"580" "SCIN" "grey"
"581" "PRR15" "greenyellow"
"582" "TENM4" "skyblue1"
"583" "DLX2" "green"
"584" "SLC6A12" "steelblue"
"585" "SELE" "darkred"
"586" "CYP4F35P" "grey"
"587" "DAPL1" "grey"
