"V1" "V2"
"184" "Hoga1" "grey"
"185" "X9230102K24Rik" "brown4"
"186" "Adra1d" "lavenderblush3"
"187" "Fam169a" "maroon"
"188" "Gm8773" "coral1"
"189" "Kirrel3" "brown4"
"190" "Tnfrsf25" "brown4"
"191" "Tnnt1" "darkorange2"
"192" "Usp43" "blue"
"193" "Klhl38" "palevioletred3"
"194" "Tshr" "darkolivegreen"
"195" "Elovl7" "darkolivegreen"
"196" "Gm11110" "brown4"
"197" "Kifc5b" "grey"
"198" "Nat14" "darkgreen"
"199" "P2ry1" "grey"
"200" "Ppfia2" "grey"
"201" "Rdh12" "darkviolet"
"202" "Slitrk2" "grey"
"203" "Tm4sf5" "greenyellow"
"204" "Sidt1" "brown4"
"205" "A230028O05Rik" "brown4"
"206" "A430057M04Rik" "honeydew"
"207" "Cpa6" "sienna3"
"208" "Fut9" "darkmagenta"
"209" "Gldn" "darkorange2"
"210" "Gm15787" "brown4"
"211" "Gm5069" "sienna3"
"212" "Rassf7" "palevioletred2"
"213" "Slc6a4" "antiquewhite4"
"214" "Wfikkn2" "darkolivegreen4"
"215" "Zfp184" "thistle1"
"216" "E130310I04Rik" "salmon4"
"217" "Cadps2" "darkolivegreen"
"218" "Retn" "darkolivegreen"
"219" "Gm15326" "brown4"
"220" "Klrb1a" "brown4"
"221" "Adam11" "sienna3"
"222" "Akr1c12" "brown4"
"223" "Smtnl2" "darkorange2"
"224" "Egfl6" "antiquewhite4"
"225" "Tpsab1" "brown"
"226" "Nron" "coral2"
"227" "X1810041L15Rik" "brown4"
"228" "X5031425F14Rik" "grey"
"229" "X6230400D17Rik" "sienna3"
"230" "Abca4" "darkolivegreen"
"231" "Ablim2" "darkolivegreen"
"232" "Bambi.ps1" "brown"
"233" "BC037704" "lightyellow"
"234" "Dcaf12l1" "maroon"
"235" "Hoxa6" "navajowhite2"
"236" "Inpp5j" "blue"
"237" "Pdcd1lg2" "sienna3"
"238" "Scn3a" "darkolivegreen"
"239" "Slc25a29" "brown"
"240" "Tmem202" "brown"
"241" "Ankrd55" "brown4"
"242" "Gm10584" "brown4"
"243" "Krt10" "brown4"
"244" "Phf21b" "brown"
"245" "Serp2" "brown4"
"246" "Zfp964" "antiquewhite4"
"247" "Kbtbd6" "salmon4"
"248" "Zfp239" "lightpink4"
"249" "Nrip2" "brown"
"250" "Tram1l1" "darkmagenta"
"251" "Gpr17" "brown4"
"252" "Ccdc17" "grey"
"253" "Pnma1" "sienna3"
"254" "X4833419F23Rik" "honeydew"
"255" "X2010300C02Rik" "brown4"
"256" "Spata24" "brown4"
"257" "Ptpn5" "brown4"
"258" "Foxp3" "black"
"259" "X4732471J01Rik" "salmon2"
"260" "Cpt1b" "sienna3"
"261" "Dnah17" "sienna3"
"262" "Evpl" "indianred4"
"263" "Gm11517" "lightsteelblue1"
"264" "Gm11627" "honeydew"
"265" "Gm16617" "brown"
"266" "Gria1" "brown4"
"267" "Ltb4r1" "darkorange2"
"268" "Pabpc1l" "brown4"
"269" "Perm1" "darkorange2"
"270" "Rpp25" "darkolivegreen"
"271" "Rundc3b" "steelblue"
"272" "Scrn2" "brown"
"273" "Uchl1" "brown4"
"274" "Zfp783" "brown2"
"275" "Ccr6" "black"
"276" "Rab39b" "brown4"
"277" "Smim6" "orange"
"278" "Gm16062" "darkgreen"
"279" "Tmem158" "brown4"
"280" "X5930403L14Rik" "brown"
"281" "Gm28043" "blue"
"282" "Cyp2r1" "brown4"
"283" "Ciart" "grey"
"284" "Adh7" "salmon4"
"285" "Glp1r" "grey"
"286" "Gm45935" "antiquewhite4"
"287" "X2310040G24Rik" "brown"
"288" "Cdkl1" "grey"
"289" "Fez1" "honeydew"
"290" "Map2k3os" "brown4"
"291" "Tert" "honeydew"
"292" "Rmi2" "grey"
"293" "Chad" "brown"
"294" "Cyp2u1" "brown4"
"295" "X2810468N07Rik" "coral1"
"296" "Tgfbr3l" "blue"
"297" "X4933428G20Rik" "antiquewhite4"
"298" "Ncr1" "steelblue"
"299" "A530099J19Rik" "darkolivegreen"
"300" "Zfp94" "brown4"
"301" "Impg2" "blue"
"302" "Zfp711" "salmon4"
"303" "Gm9199" "salmon4"
"304" "Gjb3" "darkmagenta"
"305" "Gm15713" "salmon4"
"306" "Rab19" "brown4"
"307" "Tnnt3" "darkorange2"
"308" "Tox2" "thistle1"
"309" "Prss30" "thistle1"
"310" "B630019K06Rik" "brown4"
"311" "Pcsk9" "skyblue1"
"312" "Krt20" "darkmagenta"
"313" "Cxcl5" "brown4"
"314" "Gm10400" "brown4"
"315" "X4732491K20Rik" "indianred4"
"316" "H2.L" "brown4"
"317" "X3425401B19Rik" "darkorange2"
"318" "X3632454L22Rik" "grey"
"319" "X5033417F24Rik" "brown2"
"320" "Bfsp1" "darkolivegreen4"
"321" "Gm12504" "blue"
"322" "Il13ra2" "brown4"
"323" "Myh14" "darkolivegreen"
"324" "Rgs8" "brown4"
"325" "Tmem132e" "blue"
"326" "X4930432K21Rik" "navajowhite2"
"327" "B3galt5" "brown4"
"328" "Gpbar1" "brown"
"329" "Grik2" "brown4"
"330" "Il20ra" "brown"
"331" "Klc3" "lightpink3"
"332" "Klra7" "brown4"
"333" "Lrrc19" "brown4"
"334" "Ppp1r1a" "greenyellow"
"335" "Sspo" "black"
"336" "Sult6b1" "yellow4"
"337" "Tmigd3" "brown"
"338" "Vps37d" "darkgreen"
"339" "Gm16023" "thistle3"
"340" "Plin1" "darkolivegreen"
"341" "Hsf4" "skyblue2"
"342" "Psd2" "brown4"
"343" "Cidec" "darkolivegreen"
"344" "Gm9833" "brown4"
"345" "Nrn1" "lightsteelblue1"
"346" "X1700029J07Rik" "brown4"
"347" "Hexim2" "brown"
"348" "Rap1gap" "brown"
"349" "Atxn7l1os2" "grey"
"350" "D030025P21Rik" "brown"
"351" "X2610035D17Rik" "honeydew"
"352" "Vipr2" "brown4"
"353" "Grik3" "blue"
"354" "Prkaa2" "darkolivegreen"
"355" "Cabyr" "brown4"
"356" "Ccdc138" "maroon"
"357" "Lrrc71" "skyblue2"
"358" "Bank1" "blue"
"359" "Tox" "brown4"
"360" "Mycl" "darkolivegreen"
"361" "Cxcr2" "brown4"
"362" "Abcg4" "lightcyan1"
"363" "Snhg14" "grey"
"364" "Klk1" "brown4"
"365" "Epha7" "sienna3"
"366" "X3300002I08Rik" "honeydew"
"367" "Alpl" "lightpink4"
"368" "Dync1i1" "grey"
"369" "Eldr" "yellow4"
"370" "Gm6634" "skyblue"
"371" "Gm8909" "brown4"
"372" "Hist1h3f" "brown4"
"373" "Lrfn1" "brown4"
"374" "Npas4" "brown"
"375" "Pm20d1" "darkolivegreen"
"376" "Ppara" "darkgrey"
"377" "Rasal1" "brown4"
"378" "Trim29" "navajowhite2"
"379" "Zfp354b" "maroon"
"380" "Cfd" "darkolivegreen"
"381" "Dusp27" "brown"
"382" "Lck" "brown4"
"383" "Adipoq" "darkolivegreen"
"384" "Bmp7" "thistle1"
"385" "Dcstamp" "brown"
"386" "Derl3" "brown4"
"387" "Il10" "skyblue1"
"388" "Lurap1" "grey"
"389" "Mir155hg" "brown"
"390" "Muc4" "salmon4"
"391" "Pemt" "thistle1"
"392" "Ptprcap" "steelblue"
"393" "Smim10l2a" "brown"
"394" "Gpr21" "lightpink4"
"395" "Rsph9" "brown4"
"396" "Mapk4" "grey"
"397" "Zfp791" "blue"
"398" "Lgr6" "brown4"
"399" "Dqx1" "honeydew"
"400" "Myrf" "honeydew1"
"401" "Proca1" "blue"
"402" "Flicr" "brown4"
"403" "Clca3a2" "skyblue1"
"404" "Eomes" "steelblue"
"405" "Mgarp" "brown"
"406" "Stab2" "salmon2"
"407" "Pcdh11x" "plum2"
"408" "Lncenc1" "brown4"
"409" "Masp2" "brown4"
"410" "X4930581F22Rik" "brown"
"411" "X1700048O20Rik" "brown"
"412" "X2010204K13Rik" "brown4"
"413" "Art2a.ps" "antiquewhite4"
"414" "Cyp2s1" "brown"
"415" "Matn3" "brown4"
"416" "Serpind1" "indianred4"
"417" "Slitrk6" "brown4"
"418" "Mir17hg" "lightyellow"
"419" "Ccdc62" "sienna3"
"420" "Rps19.ps3" "darkolivegreen4"
"421" "Cd177" "grey"
"422" "Nrk" "brown4"
"423" "Sema3e" "lightsteelblue"
"424" "Slc25a53" "sienna3"
"425" "Plin4" "darkolivegreen"
"426" "Frs3" "brown"
"427" "Unc79" "skyblue"
"428" "Prr18" "bisque4"
"429" "Apol7a" "darkmagenta"
"430" "Ccdc189" "brown4"
"431" "Lenep" "black"
"432" "Tmem150b" "blue2"
"433" "Ap3b2" "brown4"
"434" "Ccdc159" "brown4"
"435" "Hoxd4" "paleturquoise"
"436" "Kcna6" "grey"
"437" "LOC102634812" "brown"
"438" "Marveld2" "darkolivegreen"
"439" "Nyap1" "sienna3"
"440" "Nxpe2" "grey"
"441" "F7" "steelblue"
"442" "Bdkrb1" "darkmagenta"
"443" "Thrsp" "darkolivegreen"
"444" "Mycn" "brown4"
"445" "Vnn1" "maroon"
"446" "Cldn1" "brown4"
"447" "Slc5a7" "blue"
"448" "Pou5f2" "salmon4"
"449" "Zfp385c" "honeydew"
"450" "Kcnc2" "thistle1"
"451" "Popdc2" "palevioletred2"
"452" "Celsr2" "lightsteelblue"
